,type,name,salary,score,contract,include,exclude,locked,points,i
11,driver,Sainz,14.6,192,,1.0,,False,743,7396
13,driver,Albon,11.8,87,,,,False,743,7396
19,driver,Bortoleto,3.4,75,,,,False,743,7396
26,team,Williams,13.2,90,,1.0,,False,743,7245
1,driver,Norris,28.6,155,,1.0,,False,743,7245
2,driver,Leclerc,27.2,144,,,,False,743,7245
11,driver,Sainz,14.6,192,,1.0,,False,743,7245
13,driver,Albon,11.8,87,,,,False,743,7245
19,driver,Bortoleto,3.4,75,,,,False,743,7245
26,team,Williams,13.2,90,,1.0,,False,743,7165
1,driver,Norris,28.6,155,,1.0,,False,743,7165
2,driver,Leclerc,27.2,144,,,,False,743,7165
11,driver,Sainz,14.6,192,,1.0,,False,743,7165
13,driver,Albon,11.8,87,,,,False,743,7165
19,driver,Bortoleto,3.4,75,,,,False,743,7165
26,team,Williams,13.2,90,,1.0,,False,743,7150
1,driver,Norris,28.6,155,,1.0,,False,743,7150
3,driver,Hamilton,25.8,140,,,,False,743,7150
11,driver,Sainz,14.6,192,,1.0,,False,743,7150
12,driver,Ocon,13.2,91,,,,False,743,7150
19,driver,Bortoleto,3.4,75,,,,False,743,7150
26,team,Williams,13.2,90,,1.0,,False,743,7014
1,driver,Norris,28.6,155,,1.0,,False,743,7014
2,driver,Leclerc,27.2,144,,,,False,743,7014
11,driver,Sainz,14.6,192,,1.0,,False,743,7014
13,driver,Albon,11.8,87,,,,False,743,7014
19,driver,Bortoleto,3.4,75,,,,False,743,7014
26,team,Williams,13.2,90,,1.0,,False,743,6887
1,driver,Norris,28.6,155,,1.0,,False,743,6887
3,driver,Hamilton,25.8,140,,,,False,743,6887
11,driver,Sainz,14.6,192,,1.0,,False,743,6887
12,driver,Ocon,13.2,91,,,,False,743,6887
19,driver,Bortoleto,3.4,75,,,,False,743,6887
26,team,Williams,13.2,90,,1.0,,False,743,6817
1,driver,Norris,28.6,155,,1.0,,False,743,6817
3,driver,Hamilton,25.8,140,,,,False,743,6817
11,driver,Sainz,14.6,192,,1.0,,False,743,6817
12,driver,Ocon,13.2,91,,,,False,743,6817
19,driver,Bortoleto,3.4,75,,,,False,743,6817
26,team,Williams,13.2,90,,1.0,,False,743,6800
1,driver,Norris,28.6,155,,1.0,,False,743,6800
3,driver,Hamilton,25.8,140,,,,False,743,6800
11,driver,Sainz,14.6,192,,1.0,,False,743,6800
12,driver,Ocon,13.2,91,,,,False,743,6800
19,driver,Bortoleto,3.4,75,,,,False,743,6800
26,team,Williams,13.2,90,,1.0,,False,743,6431
1,driver,Norris,28.6,155,,1.0,,False,743,6431
7,driver,Antonelli,20.2,120,,,,False,743,6431
8,driver,Alonso,18.8,111,,,,False,743,6431
11,driver,Sainz,14.6,192,,1.0,,False,743,6431
19,driver,Bortoleto,3.4,75,,,,False,743,6431
26,team,Williams,13.2,90,,1.0,,False,743,6420
1,driver,Norris,28.6,155,,1.0,,False,743,6420
2,driver,Leclerc,27.2,144,,,,False,743,6420
11,driver,Sainz,14.6,192,,1.0,,False,743,6420
13,driver,Albon,11.8,87,,,,False,743,6420
19,driver,Bortoleto,3.4,75,,,,False,743,6420
26,team,Williams,13.2,90,,1.0,,False,743,6343
1,driver,Norris,28.6,155,,1.0,,False,743,6343
7,driver,Antonelli,20.2,120,,,,False,743,6343
8,driver,Alonso,18.8,111,,,,False,743,6343
11,driver,Sainz,14.6,192,,1.0,,False,743,6343
19,driver,Bortoleto,3.4,75,,,,False,743,6343
26,team,Williams,13.2,90,,1.0,,False,743,6323
1,driver,Norris,28.6,155,,1.0,,False,743,6323
7,driver,Antonelli,20.2,120,,,,False,743,6323
8,driver,Alonso,18.8,111,,,,False,743,6323
11,driver,Sainz,14.6,192,,1.0,,False,743,6323
19,driver,Bortoleto,3.4,75,,,,False,743,6323
26,team,Williams,13.2,90,,1.0,,False,743,6208
1,driver,Norris,28.6,155,,1.0,,False,743,6208
3,driver,Hamilton,25.8,140,,,,False,743,6208
11,driver,Sainz,14.6,192,,1.0,,False,743,6208
12,driver,Ocon,13.2,91,,,,False,743,6208
19,driver,Bortoleto,3.4,75,,,,False,743,6208
26,team,Williams,13.2,90,,1.0,,False,743,6081
1,driver,Norris,28.6,155,,1.0,,False,743,6081
7,driver,Antonelli,20.2,120,,,,False,743,6081
8,driver,Alonso,18.8,111,,,,False,743,6081
11,driver,Sainz,14.6,192,,1.0,,False,743,6081
19,driver,Bortoleto,3.4,75,,,,False,743,6081
26,team,Williams,13.2,90,,1.0,,False,743,6080
1,driver,Norris,28.6,155,,1.0,,False,743,6080
2,driver,Leclerc,27.2,144,,,,False,743,6080
11,driver,Sainz,14.6,192,,1.0,,False,743,6080
13,driver,Albon,11.8,87,,,,False,743,6080
19,driver,Bortoleto,3.4,75,,,,False,743,6080
26,team,Williams,13.2,90,,1.0,,False,743,6047
1,driver,Norris,28.6,155,,1.0,,False,743,6047
3,driver,Hamilton,25.8,140,,,,False,743,6047
11,driver,Sainz,14.6,192,,1.0,,False,743,6047
12,driver,Ocon,13.2,91,,,,False,743,6047
19,driver,Bortoleto,3.4,75,,,,False,743,6047
26,team,Williams,13.2,90,,1.0,,False,743,6046
1,driver,Norris,28.6,155,,1.0,,False,743,6046
7,driver,Antonelli,20.2,120,,,,False,743,6046
8,driver,Alonso,18.8,111,,,,False,743,6046
11,driver,Sainz,14.6,192,,1.0,,False,743,6046
19,driver,Bortoleto,3.4,75,,,,False,743,6046
26,team,Williams,13.2,90,,1.0,,False,743,6040
